CustomerKey,Recency,Frequency,Monetary,Segment,Cluster
11128,169,2,143.94,Regular,1
11129,384,2,5873.26,At Risk High Value,3
11130,50,1,37.29,Regular,1
11131,5,5,165.91,Loyal,3
11132,294,1,2371.9399999999996,At Risk High Value,1
11133,29,1,71.96000000000001,Regular,1
11134,86,3,4911.83,Loyal,3
11135,285,1,2334.97,At Risk High Value,1
11136,390,1,2380.47,At Risk High Value,1
11137,8,2,202.57,Loyal,1
11138,28,2,78.97,Loyal,1
11139,103,2,83.97,Loyal,1
11140,315,1,39.99,At Risk,1
11141,122,2,113.96000000000001,Loyal,1
11142,15,17,980.77,Loyal,2
11143,40,2,48.56,Loyal,1
11144,368,1,2399.97,At Risk High Value,1
11145,368,1,2309.97,At Risk High Value,1
11146,135,3,112.92999999999999,Regular,1
11147,104,3,8195.5,Loyal,3
11148,56,3,126.24000000000001,Loyal,1
11149,60,3,41.26,Loyal,1
11150,197,3,192.42000000000002,Regular,1
11151,100,3,8087.3099999999995,Loyal,3
11152,384,1,2294.99,At Risk High Value,1
11153,305,2,109.77,At Risk,1
11154,383,1,2319.99,At Risk High Value,1
11155,387,1,2319.99,At Risk High Value,1
11156,385,1,2389.97,At Risk High Value,1
11157,139,2,41.28,Regular,1
11158,374,1,2395.9599999999996,At Risk High Value,1
11159,82,2,48.559999999999995,Loyal,1
11160,341,1,2322.2799999999997,At Risk High Value,1
11161,78,2,93.95,Loyal,1
11162,344,1,2329.9799999999996,At Risk High Value,1
11163,176,2,46.27,Regular,1
11164,176,2,144.76,Regular,1
11165,237,2,102.49000000000001,At Risk,1
11166,53,2,87.96000000000001,Loyal,1
11167,61,2,3126.33,VIP,3
11168,73,2,3136.5899999999997,Loyal,3
11169,126,2,81.26,Loyal,1
11170,30,2,157.23,Loyal,1
11171,82,3,6716.55,Loyal,3
11172,17,2,128.94,Loyal,1
11173,35,2,102.49000000000001,Loyal,1
11174,187,2,48.56,Regular,1
11175,86,3,6710.55,Loyal,3
11176,1,28,1320.01,VIP,2
11177,106,2,135.25,Loyal,1
11178,247,2,144.76,At Risk,1
11179,19,2,125.44,Loyal,1
11180,125,2,138.45,Loyal,1
11181,201,2,41.28,Regular,1
11182,23,2,81.26,Loyal,1
11183,229,2,46.27,At Risk,1
11184,111,2,68.25,Loyal,1
11185,2,27,1616.31,VIP,2
11186,21,2,41.28,Loyal,1
11187,175,2,107.48,Regular,1
11188,7,2,81.26,Loyal,1
11189,357,2,5944.219999999999,At Risk High Value,3
11190,12,2,46.269999999999996,Loyal,1
11191,83,3,6743.58,Loyal,3
11192,125,2,113.96000000000001,Loyal,1
11193,163,2,41.28,Regular,1
11194,51,2,105.75,Loyal,1
11195,98,2,105.75,Loyal,1
11196,126,2,162.28,Loyal,1
11197,192,2,207.56,Regular,1
11198,349,2,98.47,At Risk,1
11199,103,2,131.75,Loyal,1
11200,8,27,1463.38,VIP,2
11201,141,2,180.94,Regular,1
11202,129,2,73.98,Loyal,1
11203,48,17,801.77,Loyal,2
11204,79,2,77.27000000000001,Loyal,1
11205,112,2,37.29,Loyal,1
11206,243,2,77.27000000000001,At Risk,1
11207,102,2,77.27000000000001,Loyal,1
11208,133,2,134.23,Regular,1
11209,6,2,37.29,Loyal,1
11210,144,2,70.76,Regular,1
11211,21,17,793.5500000000001,Loyal,2
11212,11,17,827.19,Loyal,2
11213,141,2,77.27000000000001,Regular,1
11214,70,2,162.28,Loyal,1
11215,44,17,1155.52,VIP,2
11216,357,2,5948.24,At Risk High Value,3
11217,348,2,5953.25,At Risk High Value,3
11218,24,2,39.58,Loyal,1
11219,4,2,39.58,Loyal,1
11220,46,2,50.230000000000004,Loyal,1
11221,103,2,46.27,Loyal,1
11222,61,2,207.96,Loyal,1
11223,22,27,1205.38,VIP,2
11224,56,3,6685.59,VIP,3
11225,144,2,73.25,Regular,1
11226,303,2,37.29,At Risk,1
11227,352,2,5910.219999999999,At Risk High Value,3
11228,11,2,77.27000000000001,Loyal,1
11229,3,2,81.26,Loyal,1
11230,50,2,54.22,Loyal,1
11231,77,2,64.26,Loyal,1
11232,76,2,39.58,Loyal,1
11233,234,2,179.43,At Risk,1
11234,131,2,76.27000000000001,Loyal,1
11235,23,2,138.45000000000002,Loyal,1
11236,22,2,113.96000000000001,Loyal,1
11237,64,4,10566.38,VIP,3
11238,273,4,7542.7699999999995,At Risk High Value,3
11239,245,4,7511.549999999999,At Risk High Value,3
11240,260,4,7586.23,At Risk High Value,3
11241,91,7,11469.1882,Loyal,3
11242,55,7,11068.0082,VIP,3
11243,233,4,7164.25,At Risk High Value,3
11244,193,4,7175.75,Regular,3
11245,48,4,10580.35,VIP,3
11246,39,4,10575.33,VIP,3
11247,164,4,7131.509999999999,Regular,3
11248,198,1,38.47,Regular,1
11249,135,4,9890.27,Regular,3
11250,175,4,7116.25,Regular,3
11251,102,1,2318.9599999999996,Regular,1
11252,41,3,6685.5599999999995,VIP,3
11253,56,16,696.61,Loyal,2
11254,45,2,203.92000000000002,Loyal,1
11255,303,2,113.96000000000001,At Risk,1
11256,104,2,81.26,Loyal,1
11257,45,3,6677.38,VIP,3
11258,197,2,49.230000000000004,Regular,1
11259,39,3,6770.599999999999,VIP,3
11260,219,2,81.26,At Risk,1
11261,36,3,6650.599999999999,VIP,3
11262,6,27,1126.82,Loyal,2
11263,49,3,6754.0599999999995,VIP,3
11264,59,2,3182.27,VIP,3
11265,390,1,2351.9599999999996,At Risk High Value,1
11266,373,2,5922.23,At Risk High Value,3
11267,386,2,5943.23,At Risk High Value,3
11268,73,2,98.25,Loyal,1
11269,140,2,42.28,Regular,1
11270,386,2,5984.219999999999,At Risk High Value,3
11271,371,2,5973.24,At Risk High Value,3
11272,380,2,5975.23,At Risk High Value,3
11273,250,2,273.23,At Risk,1
11274,338,2,5888.24,At Risk High Value,3
11275,381,2,5955.23,At Risk High Value,3
11276,6,27,988.32,Loyal,2
11277,12,27,1434.99,VIP,2
11278,390,2,5908.25,At Risk High Value,3
11279,220,2,44.57,At Risk,1
11280,173,2,77.27000000000001,Regular,1
11281,382,2,5921.19,At Risk High Value,3
11282,391,2,5998.73,At Risk High Value,3
11283,153,2,44.57,Regular,1
11284,271,2,55.480000000000004,At Risk,1
11285,94,2,127.76,Loyal,1
11286,373,2,5954.219999999999,At Risk High Value,3
11287,0,27,1167.07,VIP,2
11288,160,2,77.27000000000001,Regular,1
11289,377,2,5905.48,At Risk High Value,3
11290,366,2,5933.25,At Risk High Value,3
11291,374,2,5873.26,At Risk High Value,3
11292,393,2,5910.219999999999,At Risk High Value,3
11293,319,2,85.22,At Risk,1
11294,25,2,42.28,Loyal,1
11295,384,2,6058.25,At Risk High Value,3
11296,364,2,5897.53,At Risk High Value,3
11297,342,2,5948.24,At Risk High Value,3
11298,341,2,5922.23,At Risk High Value,3
11299,338,2,6015.24,At Risk High Value,3
11300,28,27,1500.52,VIP,2
11301,109,2,131.26,Loyal,1
11302,360,2,5938.19,At Risk High Value,3
11303,339,2,5875.55,At Risk High Value,3
11304,281,2,122.21,At Risk,1
11305,177,2,77.27000000000001,Regular,1
11306,143,2,42.28,Regular,1
11307,354,2,5964.219999999999,At Risk High Value,3
11308,13,2,94.26,Loyal,1
11309,23,2,42.28,Loyal,1
11310,35,2,77.27000000000001,Loyal,1
11311,137,2,77.27000000000001,Regular,1
11312,240,2,42.28,At Risk,1
11313,63,2,44.57,Loyal,1
11314,56,2,47.53,Loyal,1
11315,42,2,42.28,Loyal,1
11316,381,1,2349.9799999999996,At Risk High Value,1
11317,344,2,5873.26,At Risk High Value,3
11318,81,2,44.57,Loyal,1
11319,338,2,5930.23,At Risk High Value,3
11320,162,2,72.21000000000001,Regular,1
11321,245,2,37.29,At Risk,1
11322,252,2,44.57,At Risk,1
11323,363,2,6074.54,At Risk High Value,3
11324,357,2,5945.23,At Risk High Value,3
11325,362,2,6044.2,At Risk High Value,3
11326,342,2,5948.24,At Risk High Value,3
11327,361,2,5915.54,At Risk High Value,3
11328,296,2,4718.04,At Risk High Value,3
11329,352,2,5898.26,At Risk High Value,3
11330,6,27,1136.3500000000001,Loyal,2
11331,4,27,1329.31,VIP,2
11332,387,2,5754.969999999999,At Risk High Value,3
11333,198,3,8163.3099999999995,Regular,3
11334,185,3,8154.0199999999995,Regular,3
11335,389,2,5744.25,At Risk High Value,3
11336,388,2,4441.3796,At Risk High Value,3
11337,193,3,8161.999999999999,Regular,3
11338,394,2,5744.95,At Risk High Value,3
11339,368,2,4379.0782,At Risk High Value,3
11340,391,2,4413.0581999999995,At Risk High Value,3
11341,193,3,8192.0,Regular,3
11342,200,1,48.97,Regular,1
11343,188,3,8221.99,Regular,3
11344,189,3,8119.8099999999995,Regular,3
11345,393,2,4404.0882,At Risk High Value,3
11346,351,2,4503.048199999999,At Risk High Value,3
11347,318,1,13.98,At Risk,1
11348,303,1,67.97,At Risk,1
11349,15,1,67.97,Regular,1
11350,357,1,38.47,At Risk,1
11351,153,3,8068.03,Regular,3
11352,272,1,13.98,At Risk,1
11353,173,3,8078.0199999999995,Regular,3
11354,56,1,22.97,Regular,1
11355,124,1,13.98,Regular,1
11356,89,3,5069.29,Loyal,3
11357,91,3,4943.8,Loyal,3
11358,75,3,5034.78,Loyal,3
11359,55,3,4960.07,VIP,3
11360,37,3,5025.8,VIP,3
11361,65,2,114.96000000000001,Loyal,1
11362,126,2,77.27,Loyal,1
11363,41,3,5035.8099999999995,VIP,3
11364,33,3,4921.82,VIP,3
11365,37,3,5024.79,VIP,3
11366,166,2,77.27,Regular,1
11367,64,2,86.26,Loyal,1
11368,58,3,5106.24,VIP,3
11369,32,2,118.96000000000001,Loyal,1
11370,119,2,79.97,Loyal,1
11371,31,2,74.98,Loyal,1
11372,45,3,4965.8099999999995,VIP,3
11373,154,1,38.47,Regular,1
11374,288,1,68.97,At Risk,1
11375,103,1,13.98,Regular,1
11376,105,1,78.48,Regular,1
11377,334,1,83.97,At Risk,1
11378,348,2,4436.3895999999995,At Risk High Value,3
11379,336,2,4426.0581999999995,At Risk High Value,3
11380,359,2,5837.91,At Risk High Value,3
11381,163,3,8161.0199999999995,Regular,3
11382,346,2,4344.0882,At Risk High Value,3
11383,27,1,48.97,Regular,1
11384,179,1,48.97,Regular,1
11385,206,1,13.98,At Risk,1
11386,87,1,68.97,Regular,1
11387,302,3,6958.799999999999,At Risk High Value,3
11388,277,3,6986.749999999999,At Risk High Value,3
11389,72,1,68.97,Regular,1
11390,82,1,48.97,Regular,1
11391,94,1,33.98,Regular,1
11392,305,1,28.99,At Risk,1
11393,196,1,13.98,Regular,1
11394,179,3,8161.969999999999,Regular,3
11395,342,2,5729.969999999999,At Risk High Value,3
11396,94,1,28.99,Regular,1
11397,205,1,38.47,Regular,1
11398,179,3,8114.04,Regular,3
11399,290,1,13.98,At Risk,1
11400,193,3,6967.78,Regular,3
11401,326,3,5020.8696,At Risk High Value,3
11402,301,3,5059.3296,At Risk High Value,3
11403,245,3,5033.1396,At Risk High Value,3
11404,352,1,33.98,At Risk,1
11405,303,1,53.99,At Risk,1
11406,353,2,4415.0382,At Risk High Value,3
11407,219,1,53.99,At Risk,1
11408,329,1,34.47,At Risk,1
11409,365,2,4444.0682,At Risk High Value,3
11410,358,2,4464.0682,At Risk High Value,3
11411,177,1,38.47,Regular,1
11412,109,4,9879.96,Loyal,3
11413,145,4,7189.75,Regular,3
11414,135,4,7191.7699999999995,Regular,3
11415,165,1,13.98,Regular,1
11416,268,3,4928.0581999999995,At Risk High Value,3
11417,44,7,11248.458200000001,VIP,3
11418,42,1,39.980000000000004,Regular,1
11419,215,2,231.75,At Risk,1
11420,60,7,11200.7696,VIP,3
11421,111,4,9780.04,Loyal,3
11422,86,4,7075.2699999999995,Loyal,3
11423,100,4,9904.97,Loyal,3
11424,282,1,43.980000000000004,At Risk,1
11425,38,6,10528.6282,VIP,3
11426,294,1,34.99,At Risk,1
11427,100,4,9917.99,Loyal,3
11428,98,4,9954.26,Loyal,3
11429,35,6,10468.3796,VIP,3
11430,315,1,84.98,At Risk,1
11431,120,4,9912.98,Loyal,3
11432,34,6,9330.1996,VIP,3
11433,136,6,12909.6682,Regular,3
11434,197,2,70.46000000000001,Regular,1
11435,24,1,34.99,Regular,1
11436,223,2,81.76,At Risk,1
11437,40,1,53.99,Regular,1
11438,357,1,34.99,At Risk,1
11439,100,6,12489.1696,Loyal,3
11440,307,1,78.48,At Risk,1
11441,20,1,43.980000000000004,Regular,1
11442,121,1,34.99,Regular,1
11443,119,3,8235.0,Loyal,3
11444,240,3,8136.0199999999995,At Risk High Value,3
11445,214,3,8098.03,At Risk High Value,3
11446,221,3,8237.01,At Risk High Value,3
11447,242,3,8078.0199999999995,At Risk High Value,3
11448,221,3,8132.009999999999,At Risk High Value,3
11449,218,3,8130.32,At Risk High Value,3
11450,225,3,8173.259999999999,At Risk High Value,3
11451,237,3,8249.49,At Risk High Value,3
11452,230,3,8183.04,At Risk High Value,3
11453,223,3,8176.98,At Risk High Value,3
11454,224,3,8089.04,At Risk High Value,3
11455,242,3,8142.03,At Risk High Value,3
11456,242,3,8224.46,At Risk High Value,3
11457,241,3,8211.48,At Risk High Value,3
11458,10,3,96.89,Loyal,1
11459,224,3,8141.33,At Risk High Value,3
11460,232,3,8137.5199999999995,At Risk High Value,3
11461,191,3,8089.04,Regular,3
11462,187,3,8116.33,Regular,3
11463,46,3,47.92,Loyal,1
11464,211,3,8128.509999999999,At Risk High Value,3
11465,199,3,8158.04,Regular,3
11466,160,3,90.19,Regular,1
11467,26,3,55.87,Loyal,1
11468,160,3,6959.82,Regular,3
11469,172,1,25.479999999999997,Regular,1
11470,341,2,4344.0882,At Risk High Value,3
11471,256,1,53.99,At Risk,1
11472,94,3,8165.82,Loyal,3
11473,240,1,62.980000000000004,At Risk,1
11474,124,1,49.97,Regular,1
11475,280,1,69.46,At Risk,1
11476,88,1,53.99,Regular,1
11477,125,1,34.99,Regular,1
11478,284,1,53.99,At Risk,1
11479,249,3,4970.6096,At Risk High Value,3
11480,187,3,4935.3596,Regular,3
11481,282,3,4978.048199999999,At Risk High Value,3
11482,140,3,8143.03,Regular,3
11483,193,3,4966.3896,Regular,3
11484,304,3,4985.3796,At Risk High Value,3
11485,138,3,7048.299999999999,Regular,3
11486,65,1,34.99,Regular,1
11487,44,1,53.99,Regular,1
11488,151,3,8090.33,Regular,3
11489,122,3,8127.509999999999,Loyal,3
11490,299,1,53.99,At Risk,1
11491,143,3,8158.009999999999,Regular,3
11492,343,2,4404.0782,At Risk High Value,3
11493,138,3,6958.799999999999,Regular,3
11494,120,3,6973.8099999999995,Loyal,3
11495,94,1,13.98,Regular,1
11496,84,3,7013.789999999999,Loyal,3
11497,85,1,34.99,Regular,1
11498,19,16,561.53,Loyal,2
11499,213,2,192.21,At Risk,1
11500,18,16,654.27,Loyal,2
11501,6,16,872.25,Loyal,2
11502,1,16,1026.29,Loyal,2
11503,51,2,61.78,Loyal,1
11504,270,2,44.57,At Risk,1
11505,35,16,846.77,Loyal,2
11506,6,16,748.6,Loyal,2
11507,8,16,653.0600000000001,Loyal,2
11508,259,2,77.27000000000001,At Risk,1
11509,183,1,196.29,Regular,1
11510,33,5,258.15,Loyal,3
11511,321,1,35.0,At Risk,1
11512,31,1,2319.99,Regular,1
11513,234,1,863.95,At Risk,1
11514,218,1,39.99,At Risk,1
11515,283,2,5930.23,At Risk High Value,3
11516,226,2,5915.54,At Risk High Value,3
11517,158,2,101.76,Regular,1
11518,78,2,82.2,Loyal,1
11519,17,16,757.27,Loyal,2
11520,9,16,822.97,Loyal,2
11521,82,2,44.57,Loyal,1
11522,361,2,5888.24,At Risk High Value,3
11523,347,1,2376.9599999999996,At Risk High Value,1
11524,103,2,42.28,Loyal,1
11525,340,2,5935.55,At Risk High Value,3
11526,359,1,2376.9599999999996,At Risk High Value,1
11527,88,2,39.58,Loyal,1
11528,343,2,5959.71,At Risk High Value,3
11529,358,2,5944.21,At Risk High Value,3
11530,29,16,573.8,Loyal,2
11531,354,2,5875.55,At Risk High Value,3
11532,32,2,44.57,Loyal,1
11533,18,2,37.29,Loyal,1
11534,348,2,5919.73,At Risk High Value,3
11535,319,2,5919.21,At Risk High Value,3
11536,313,2,5915.54,At Risk High Value,3
11537,310,2,5873.26,At Risk High Value,3
11538,333,2,5895.24,At Risk High Value,3
11539,309,2,5997.73,At Risk High Value,3
11540,313,2,5958.179999999999,At Risk High Value,3
11541,290,2,5973.24,At Risk High Value,3
11542,262,1,34.47,At Risk,1
11543,38,1,53.99,Regular,1
11544,153,1,88.98,Regular,1
11545,199,1,53.99,Regular,1
11546,322,2,4460.3796,At Risk High Value,3
11547,184,3,4976.3796,Regular,3
11548,78,3,7068.2699999999995,Loyal,3
11549,47,3,7023.7699999999995,VIP,3
11550,318,3,5241.4282,At Risk High Value,3
11551,333,1,53.99,At Risk,1
11552,22,1,34.99,Regular,1
11553,159,1,21.49,Regular,1
11554,265,1,34.99,At Risk,1
11555,265,1,34.99,At Risk,1
11556,38,1,21.49,Regular,1
11557,173,1,21.49,Regular,1
11558,59,1,21.49,Regular,1
11559,60,1,34.99,Regular,1
11560,56,1,53.99,Regular,1
11561,323,2,4344.0882,At Risk High Value,3
11562,216,1,84.98,At Risk,1
11563,207,1,53.99,At Risk,1
11564,316,2,4369.0882,At Risk High Value,3
11565,142,1,34.99,Regular,1
11566,21,25,1006.83,Loyal,2
11567,319,1,53.99,At Risk,1
11568,130,3,6789.4596,Loyal,3
11569,69,1,34.99,Regular,1
11570,320,2,4391.4096,At Risk High Value,3
11571,314,2,4390.6796,At Risk High Value,3
11572,326,2,4450.3696,At Risk High Value,3
11573,185,1,34.99,Regular,1
11574,319,1,34.99,At Risk,1
11575,134,3,6806.1182,Regular,3
11576,311,2,4486.4096,At Risk High Value,3
11577,322,2,4344.0882,At Risk High Value,3
11578,322,2,4406.3895999999995,At Risk High Value,3
11579,181,1,43.980000000000004,Regular,1
11580,287,1,34.99,At Risk,1
11581,67,5,237.19,Loyal,3
11582,311,2,4379.0782,At Risk High Value,3
11583,295,2,4381.3895999999995,At Risk High Value,3
11584,134,1,8.99,Regular,1
11585,18,1,49.99,Regular,1
11586,92,1,8.99,Regular,1
11587,294,2,4540.3782,At Risk High Value,3
11588,261,2,4369.0882,At Risk High Value,3
11589,238,1,14.98,At Risk,1
11590,250,2,4384.0682,At Risk High Value,3
11591,250,2,5895.24,At Risk High Value,3
11592,261,2,5875.55,At Risk High Value,3
11593,223,2,5908.25,At Risk High Value,3
11594,164,1,88.98,Regular,1
11595,29,1,34.99,Regular,1
11596,119,1,49.97,Regular,1
11597,23,1,34.99,Regular,1
11598,310,2,4548.6996,At Risk High Value,3
11599,230,2,5957.219999999999,At Risk High Value,3
11600,267,1,34.99,At Risk,1
11601,235,2,5932.219999999999,At Risk High Value,3
11602,202,1,34.99,Regular,1
11603,112,3,6767.138199999999,Loyal,3
11604,104,3,6786.1182,Loyal,3
11605,334,2,4344.0882,At Risk High Value,3
11606,214,2,5922.23,At Risk High Value,3
11607,232,2,5913.24,At Risk High Value,3
11608,46,1,34.99,Regular,1
11609,66,3,6872.1082,VIP,3
11610,88,3,6786.4396,Loyal,3
11611,213,2,5873.26,At Risk High Value,3
11612,71,3,6795.1182,VIP,3
11613,279,2,4381.3895999999995,At Risk High Value,3
11614,298,2,4438.0581999999995,At Risk High Value,3
11615,290,3,5205.7096,At Risk High Value,3
11616,288,3,5253.6496,At Risk High Value,3
11617,296,2,5935.55,At Risk High Value,3
11618,353,1,2369.9599999999996,At Risk High Value,1
11619,57,16,634.84,Loyal,2
11620,185,2,44.57,Regular,1
11621,90,2,123.24000000000001,Loyal,1
11622,227,2,133.75,At Risk,1
11623,277,2,5948.24,At Risk High Value,3
11624,279,2,5898.26,At Risk High Value,3
11625,280,2,5913.25,At Risk High Value,3
11626,296,2,5958.74,At Risk High Value,3
11627,80,2,50.230000000000004,Loyal,1
11628,303,2,5875.55,At Risk High Value,3
11629,285,2,5930.23,At Risk High Value,3
11630,276,2,5933.26,At Risk High Value,3
11631,34,16,707.5,Loyal,2
11632,25,16,1002.09,Loyal,2
11633,14,2,77.27000000000001,Loyal,1
11634,277,2,39.58,At Risk,1
11635,129,2,42.28,Loyal,1
11636,10,2,77.27000000000001,Loyal,1
11637,347,2,39.58,At Risk,1
11638,101,2,77.27000000000001,Loyal,1
11639,20,2,127.26,Loyal,1
11640,30,5,409.12,Loyal,3
11641,163,5,303.2,Regular,3
11642,4,5,481.87,Loyal,3
11643,208,2,100.22,At Risk,1
11644,23,2,42.28,Loyal,1
11645,25,2,153.46,Loyal,1
11646,187,2,113.48,Regular,1
11647,347,1,2365.9399999999996,At Risk High Value,1
11648,148,2,88.99000000000001,Regular,1
11649,280,2,91.28,At Risk,1
11650,42,2,128.97,Loyal,1
11651,102,5,226.43,Loyal,3
11652,41,5,310.93,Loyal,3
11653,108,2,178.96,Loyal,1
11654,279,2,5955.23,At Risk High Value,3
11655,57,2,50.230000000000004,Loyal,1
11656,16,2,77.27000000000001,Loyal,1
11657,0,2,178.96,Loyal,1
11658,188,2,111.96000000000001,Regular,1
11659,22,5,235.01,Loyal,3
11660,165,5,324.71999999999997,Regular,3
11661,45,5,287.7,Loyal,3
11662,206,2,100.27000000000001,At Risk,1
11663,347,2,5948.24,At Risk High Value,3
11664,341,2,5948.24,At Risk High Value,3
11665,348,2,5930.23,At Risk High Value,3
11666,355,2,5948.24,At Risk High Value,3
11667,40,2,91.28,Loyal,1
11668,24,2,128.97,Loyal,1
11669,162,2,113.21000000000001,Regular,1
11670,132,2,100.27000000000001,Loyal,1
11671,295,2,5970.23,At Risk High Value,3
11672,132,2,113.47999999999999,Loyal,1
11673,331,2,191.95000000000002,At Risk,1
11674,163,2,96.27,Regular,1
11675,353,2,5898.26,At Risk High Value,3
11676,50,2,91.28,Loyal,1
11677,59,5,298.21,Loyal,3
11678,357,2,5900.55,At Risk High Value,3
11679,60,2,145.96,Loyal,1
11680,9,2,93.98,Loyal,1
11681,64,2,137.96,Loyal,1
11682,50,2,252.98000000000002,Loyal,1
11683,355,2,5897.23,At Risk High Value,3
11684,47,2,93.98,Loyal,1
11685,46,2,110.92,Loyal,1
11686,279,2,128.97,At Risk,1
11687,221,2,97.98,At Risk,1
